31453343 INFO  [2013-11-03 23:20:11]  180-/-1810782-/-16890000
31465108 INFO  [2013-11-03 23:20:23]  180-/-1810859-/-16900000
31475361 INFO  [2013-11-03 23:20:33]  180-/-1810934-/-16910000
31485107 INFO  [2013-11-03 23:20:43]  180-/-1811013-/-16920000
31508525 INFO  [2013-11-03 23:21:06]  180-/-1811061-/-16930000
31536806 INFO  [2013-11-03 23:21:35]  180-/-1811061-/-16940000
31550445 INFO  [2013-11-03 23:21:48]  180-/-1811114-/-16950000
31560171 INFO  [2013-11-03 23:21:58]  180-/-1811177-/-16960000
31570649 INFO  [2013-11-03 23:22:08]  180-/-1811249-/-16970000
31583309 INFO  [2013-11-03 23:22:21]  180-/-1811314-/-16980000
31596392 INFO  [2013-11-03 23:22:34]  180-/-1811390-/-16990000
31609359 INFO  [2013-11-03 23:22:47]  180-/-1811449-/-17000000
31623359 INFO  [2013-11-03 23:23:01]  180-/-1811527-/-17010000
31635776 INFO  [2013-11-03 23:23:13]  180-/-1811599-/-17020000
31647392 INFO  [2013-11-03 23:23:25]  180-/-1811667-/-17030000
31659102 INFO  [2013-11-03 23:23:37]  180-/-1811734-/-17040000
31670177 INFO  [2013-11-03 23:23:48]  180-/-1811800-/-17050000
31681759 INFO  [2013-11-03 23:23:59]  180-/-1811872-/-17060000
31693925 INFO  [2013-11-03 23:24:12]  180-/-1811941-/-17070000
31720922 INFO  [2013-11-03 23:24:39]  180-/-1811972-/-17080000
31745975 INFO  [2013-11-03 23:25:04]  180-/-1811972-/-17090000
31757219 INFO  [2013-11-03 23:25:15]  180-/-1812033-/-17100000
31770476 INFO  [2013-11-03 23:25:28]  180-/-1812106-/-17110000
31783404 INFO  [2013-11-03 23:25:41]  180-/-1812172-/-17120000
31796149 INFO  [2013-11-03 23:25:54]  180-/-1812235-/-17130000
31808938 INFO  [2013-11-03 23:26:07]  180-/-1812292-/-17140000
31821089 INFO  [2013-11-03 23:26:19]  180-/-1812353-/-17150000
31833401 INFO  [2013-11-03 23:26:31]  180-/-1812417-/-17160000
31845510 INFO  [2013-11-03 23:26:43]  180-/-1812477-/-17170000
31857402 INFO  [2013-11-03 23:26:55]  180-/-1812541-/-17180000
31869281 INFO  [2013-11-03 23:27:07]  180-/-1812605-/-17190000
31879749 INFO  [2013-11-03 23:27:17]  180-/-1812670-/-17200000
31891269 INFO  [2013-11-03 23:27:29]  180-/-1812720-/-17210000
31902871 INFO  [2013-11-03 23:27:41]  180-/-1812797-/-17220000
31938222 INFO  [2013-11-03 23:28:16]  180-/-1812803-/-17230000
31955640 INFO  [2013-11-03 23:28:33]  180-/-1812839-/-17240000
31967988 INFO  [2013-11-03 23:28:46]  180-/-1812892-/-17250000
31982764 INFO  [2013-11-03 23:29:00]  180-/-1812967-/-17260000
32000546 INFO  [2013-11-03 23:29:18]  180-/-1813042-/-17270000
32018531 INFO  [2013-11-03 23:29:36]  180-/-1813090-/-17280000
32034591 INFO  [2013-11-03 23:29:52]  180-/-1813146-/-17290000
32051037 INFO  [2013-11-03 23:30:09]  180-/-1813198-/-17300000
32066321 INFO  [2013-11-03 23:30:24]  180-/-1813266-/-17310000
32079512 INFO  [2013-11-03 23:30:37]  180-/-1813319-/-17320000
32093449 INFO  [2013-11-03 23:30:51]  180-/-1813383-/-17330000
32108104 INFO  [2013-11-03 23:31:06]  180-/-1813457-/-17340000
32142425 INFO  [2013-11-03 23:31:40]  180-/-1813460-/-17350000
32160118 INFO  [2013-11-03 23:31:58]  180-/-1813525-/-17360000
32175193 INFO  [2013-11-03 23:32:13]  180-/-1813585-/-17370000
32189856 INFO  [2013-11-03 23:32:28]  180-/-1813660-/-17380000
32204681 INFO  [2013-11-03 23:32:42]  180-/-1813720-/-17390000
32219768 INFO  [2013-11-03 23:32:57]  180-/-1813783-/-17400000
32234398 INFO  [2013-11-03 23:33:12]  180-/-1813860-/-17410000
32249262 INFO  [2013-11-03 23:33:27]  180-/-1813924-/-17420000
32264973 INFO  [2013-11-03 23:33:43]  180-/-1813987-/-17430000
32279610 INFO  [2013-11-03 23:33:57]  180-/-1814037-/-17440000
32294434 INFO  [2013-11-03 23:34:12]  180-/-1814113-/-17450000
32312573 INFO  [2013-11-03 23:34:30]  180-/-1814205-/-17460000
32348266 INFO  [2013-11-03 23:35:06]  180-/-1814205-/-17470000
32364041 INFO  [2013-11-03 23:35:22]  180-/-1814273-/-17480000
32379248 INFO  [2013-11-03 23:35:37]  180-/-1814361-/-17490000
32394652 INFO  [2013-11-03 23:35:52]  180-/-1814426-/-17500000
32409106 INFO  [2013-11-03 23:36:07]  180-/-1814481-/-17510000
32423592 INFO  [2013-11-03 23:36:21]  180-/-1814545-/-17520000
32437605 INFO  [2013-11-03 23:36:35]  180-/-1814617-/-17530000
32452768 INFO  [2013-11-03 23:36:50]  180-/-1814685-/-17540000
32467427 INFO  [2013-11-03 23:37:05]  180-/-1814762-/-17550000
32482551 INFO  [2013-11-03 23:37:20]  180-/-1814817-/-17560000
32497939 INFO  [2013-11-03 23:37:36]  180-/-1814904-/-17570000
32514534 INFO  [2013-11-03 23:37:52]  180-/-1814966-/-17580000
32549073 INFO  [2013-11-03 23:38:27]  180-/-1814968-/-17590000
32566023 INFO  [2013-11-03 23:38:44]  180-/-1815027-/-17600000
32581837 INFO  [2013-11-03 23:39:00]  180-/-1815099-/-17610000
32597030 INFO  [2013-11-03 23:39:15]  180-/-1815172-/-17620000
32612616 INFO  [2013-11-03 23:39:30]  180-/-1815250-/-17630000
32627258 INFO  [2013-11-03 23:39:45]  180-/-1815309-/-17640000
32642412 INFO  [2013-11-03 23:40:00]  180-/-1815380-/-17650000
32657911 INFO  [2013-11-03 23:40:16]  180-/-1815448-/-17660000
32672598 INFO  [2013-11-03 23:40:30]  180-/-1815523-/-17670000
32687965 INFO  [2013-11-03 23:40:46]  180-/-1815593-/-17680000
32703624 INFO  [2013-11-03 23:41:01]  180-/-1815664-/-17690000
